n,k,aack,aacgft,aadk,aadgft,aaek,aaegft,aafk,aafgft
2,1,0.53,70.1,0.54,74.69,0.55,76.96,0.55,77.91
3,1.5,1.02,82.28,1.03,84.55,1.03,85.83,1.04,86.29
4,2,1.51,87.6,1.52,89.42,1.52,90.18,1.53,90.55
5,2.5,2.01,90.63,2.02,91.88,2.02,92.62,2.02,92.85
10,5.01,4.52,95.83,4.51,96.41,4.51,96.74,4.52,96.89
15,7.51,7.02,97.3,7.01,97.71,7.01,97.9,7.02,98.05
25,12.52,12.02,98.42,12.02,98.68,12.02,98.81,12.02,98.86
50,25.02,24.52,99.23,24.53,99.36,24.52,99.42,24.51,99.45
100,50.02,49.52,99.62,49.53,99.68,49.51,99.71,49.53,99.73
500,250.23,249.73,99.92,249.67,99.94,249.67,99.94,249.62,99.95
1000,500.37,499.87,99.96,499.85,99.97,499.79,99.97,499.77,99.97
